Sr.No,Round,Institute,PG Program,Group,Category,Max GATE Score,Min GATE Score
7469,Special Round 1,Indian Institute of Information Technology Vadodara,Computer Science & Engineering with Specialization in Artificial Intelligence,Group 1,OPEN,389,356
7470,Special Round 1,Indian Institute of Information Technology Vadodara,Computer Science & Engineering with Specialization in Data Science,Group 1,OPEN,359,359
7471,Special Round 1,Motilal Nehru National Institute of Technology Allahabad,Biomedical Engineering,Group 1,OPEN,418,418
7472,Special Round 1,Motilal Nehru National Institute of Technology Allahabad,Biomedical Engineering,Group 2,OPEN,573,421
7473,Special Round 1,Motilal Nehru National Institute of Technology Allahabad,Biomedical Engineering,Group 1,SC,257,257
7474,Special Round 1,"National Institute of Technology, Rourkela",Biomedical Engineering,Group 1,OBC-NCL,358,319
7475,Special Round 1,"National Institute of Technology, Rourkela",Biomedical Engineering,Group 1,EWS,353,353
7476,Special Round 1,"National Institute of Technology, Rourkela",Biomedical Engineering,Group 1,OPEN,516,437
7477,Special Round 1,"National Institute of Technology, Rourkela",Biomedical Engineering,Group 2,OPEN,404,387
7478,Special Round 1,"National Institute of Technology, Rourkela",Biomedical Engineering,Group 3,OPEN,384,381
7479,Special Round 1,"National Institute of Technology, Rourkela",Biomedical Engineering,Group 1,SC,240,240
7480,Special Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Biomedical Engineering,Group 1,OPEN,350,350
7481,Special Round 1,National Institute of Technology  Agartala,Biotechnology & Biochemical Engineering,Group 1,OPEN,375,375
7482,Special Round 1,University of Hyderabad,Bio-informatics,Group 1,OPEN,465,375
7483,Special Round 1,University of Hyderabad,Bio-informatics,Group 1,SC,229,229
7484,Special Round 1,School of Planning & Architecture: Vijayawada,Building Engineering and Management,Group 1,OBC-NCL,393,369
7485,Special Round 1,School of Planning & Architecture: Vijayawada,Building Engineering and Management,Group 1,OPEN,539,526
7486,Special Round 1,Maulana Azad National Institute of Technology Bhopal,Bioinformatics,Group 1,OPEN,388,364
7487,Special Round 1,Maulana Azad National Institute of Technology Bhopal,Bioinformatics,Group 1,SC,219,219
7488,Special Round 1,"National Institute of Technology, Kurukshetra",Computer Engineering (Cyber Security),Group 1,OBC-NCL,449,385
7489,Special Round 1,"National Institute of Technology, Kurukshetra",Computer Engineering (Cyber Security),Group 1,EWS,381,379
7490,Special Round 1,"National Institute of Technology, Kurukshetra",Computer Engineering (Cyber Security),Group 1,OPEN,560,496
7491,Special Round 1,"National Institute of Technology, Kurukshetra",Computer Engineering (Cyber Security),Group 1,SC,300,275
7492,Special Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Biotechnology,Group 1,EWS,336,336
7493,Special Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Biotechnology,Group 1,OPEN,421,421
7494,Special Round 1,Maulana Azad National Institute of Technology Bhopal,Biotechnology,Group 1,OBC-NCL,319,319
7495,Special Round 1,Maulana Azad National Institute of Technology Bhopal,Biotechnology,Group 1,OPEN,437,359
7496,Special Round 1,Motilal Nehru National Institute of Technology Allahabad,Biotechnology,Group 1,OBC-NCL,398,398
7497,Special Round 1,Motilal Nehru National Institute of Technology Allahabad,Biotechnology,Group 1,EWS,398,381
7498,Special Round 1,"National Institute of Technology, Rourkela",Biotechnology,Group 1,SC,229,172
7499,Special Round 1,"National Institute of Technology, Warangal",Biotechnology,Group 1,OBC-NCL,370,330
7500,Special Round 1,"National Institute of Technology, Warangal",Biotechnology,Group 1,EWS,432,432
7501,Special Round 1,"National Institute of Technology, Warangal",Biotechnology,Group 1,OPEN,562,460
7502,Special Round 1,Motilal Nehru National Institute of Technology Allahabad,Biotechnology,Group 1,OPEN,460,454
